id,base_code_id:id,tax_code_id:id,active,amount,applicable_type,base_sign,account_collected_id,ref_base_code_id:id,ref_base_sign,account_paid_id,ref_tax_code_id:id,ref_tax_sign,type_tax_use,tax_sign,name,type,price_include
purchase_vat_16,vat_input_taxable,vat_input,TRUE,0.16,Always,1,Tax Paid,vat_input_taxable,-1,Tax Paid,vat_input,-1,Purchase,1,Purchase VAT 16.00%,Percentage,FALSE
purchase_vat_16_inclusive,vat_input_taxable,vat_input,TRUE,0.16,Always,1,Tax Paid,vat_input_taxable,-1,Tax Paid,vat_input,-1,Purchase,1,Purchase VAT 16.00% Inclusive,Percentage,TRUE
sales_vat_16,vat_output_taxable,vat_output,TRUE,0.16,Always,-1,Tax Received,vat_output_taxable,1,Tax Received,vat_output,1,Sale,-1,VAT 16.00%,Percentage,FALSE
sales_vat_16_inclusive,vat_output_taxable,vat_output,TRUE,0.16,Always,-1,Tax Received,vat_output_taxable,1,Tax Received,vat_output,1,Sale,-1,VAT 16.00%i,Percentage,TRUE
